Id,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,genre_label
1,0.701,1,-8.724,1,0.0769,0.00156,0.922,0.112,0.219,128.001,408750,4,0.702,1
2,0.907,4,-11.434,0,0.166,0.0166,0,0.36,0.743,188.01,340133,4,0.875,0
3,0.62,1,-8.117,1,0.0522,9.35E-06,0.891,0.0792,0.0554,128.008,371148,4,0.788,1
4,0.872,11,-4.059,0,0.333,0.0217,0,0.26,0.684,190.168,238746,4,0.739,0
5,0.922,9,-8.882,0,0.119,0.00378,0.874,0.11,0.251,130.011,341038,3,0.796,1
6,0.951,1,-8.406,1,0.0537,0.00189,0.366,0.0229,0.903,121.656,269307,4,0.711,0
7,0.752,8,-4.438,1,0.278,0.221,1.24E-05,0.0956,0.617,111.878,189893,5,0.611,0
8,0.78,11,-5.217,1,0.451,0.243,0,0.318,0.602,122.308,156534,4,0.628,0
9,0.884,5,-8.556,0,0.0434,0.117,0.915,0.112,0.0596,132.005,352860,4,0.731,1
10,0.713,5,-9.964,0,0.0529,0.0135,0.901,0.112,0.0236,128.023,419999,4,0.658,1
11,0.733,1,-5.474,1,0.0628,0.0349,0,0.324,0.397,195.944,284387,4,0.823,0
12,0.84,4,-5.842,1,0.312,0.058,0,0.535,0.694,172.196,263160,4,0.426,0
13,0.537,7,-6.347,1,0.348,0.00887,0,0.129,0.775,203.746,225947,4,0.706,0
14,0.687,7,-10.668,1,0.0463,0.0103,0.777,0.0869,0.0582,128.02,420500,4,0.646,1
15,0.823,2,-11.906,1,0.0511,0.0542,0.438,0.107,0.0399,127.99,382500,4,0.656,1
16,0.397,11,-8.617,0,0.284,0.00309,0.912,0.114,0.0389,127.998,366993,5,0.863,1
17,0.921,4,-6.986,0,0.0511,0.000685,0.873,0.0883,0.157,127,443150,4,0.685,1
18,0.719,7,-8.494,1,0.0475,0.000128,0.892,0.14,0.125,126.002,498486,4,0.696,1
19,0.452,0,-7.947,1,0.0738,0.194,0,0.251,0.514,164.024,213659,4,0.672,0
20,0.841,6,-5.294,1,0.28,0.0574,0,0.305,0.84,183.728,240707,4,0.715,0
21,0.843,1,-3.437,1,0.375,0.0378,0,0.159,0.639,176.346,337507,4,0.425,0
22,0.716,9,-8.124,0,0.0682,0.00382,0.891,0.11,0.109,128.009,556000,4,0.767,1
23,0.692,7,-12.977,1,0.0859,0.173,0.842,0.638,0.106,129.989,392726,4,0.657,1
24,0.821,10,-10.57,1,0.155,0.00191,0.816,0.112,0.0381,130,461548,4,0.749,1
25,0.881,1,-11.763,0,0.0795,0.000526,0.858,0.111,0.0417,126.998,456486,4,0.759,1
26,0.535,6,-7.59,0,0.0911,0.0855,0,0.136,0.336,112.96,313573,4,0.927,0
27,0.953,10,-9.39,0,0.0425,5.94E-05,0.872,0.127,0.101,129.989,403214,4,0.714,1
28,0.975,9,-5.326,1,0.0771,0.000795,0.815,0.146,0.444,133.989,372985,4,0.689,1
29,0.98,11,-7.059,1,0.0569,0.000816,0.205,0.109,0.243,132.003,497138,4,0.647,1
30,0.884,0,-6.132,1,0.189,0.0465,0,0.195,0.76,193.336,199827,4,0.688,0
31,0.553,0,-5.935,1,0.0827,0.0375,0,0.274,0.237,132.961,248827,4,0.707,0
32,0.807,1,-8.198,1,0.233,0.277,2.00E-05,0.155,0.618,171.968,268827,4,0.844,0
33,0.771,3,-5.935,0,0.251,0.102,1.07E-05,0.338,0.679,187.974,231160,4,0.928,0
34,0.397,8,-8.833,1,0.4,0.632,0,0.566,0.362,105.803,320680,4,0.589,0
35,0.742,7,-4.764,1,0.308,0.445,0,0.11,0.753,163.832,191832,4,0.676,0
36,0.45,4,-5.763,0,0.0497,0.0315,1.42E-05,0.111,0.464,140.978,180560,4,0.724,0
37,0.766,11,-7.448,0,0.112,0.0444,0,0.132,0.615,189.998,176947,4,0.756,0
38,0.548,1,-9.875,1,0.605,0.415,0,0.286,0.751,138.02,313427,4,0.846,0
39,0.554,7,-8.046,0,0.114,0.797,0,0.0804,0.5,158.688,80000,4,0.432,0
40,0.634,5,-8.582,0,0.394,0.385,0.000396,0.151,0.463,161.992,202067,4,0.504,0
41,0.623,1,-2.043,1,0.243,0.707,1.36E-05,0.0827,0.0766,148.073,207568,4,0.714,0
42,0.579,1,-12.432,1,0.0317,0.0425,0.853,0.0956,0.0345,127.006,707968,4,0.625,1
43,0.963,2,-8.045,0,0.07,3.84E-05,0.88,0.109,0.552,126,369737,4,0.768,1
44,0.987,4,-6.388,0,0.0604,0.0158,0.892,0.204,0.282,127.993,478125,3,0.666,1
45,0.835,2,-10.511,1,0.0574,0.0542,0.781,0.0556,0.227,129.995,415385,4,0.777,1
46,0.622,8,-6.495,0,0.235,0.256,3.44E-05,0.613,0.457,166.75,253387,4,0.351,0
47,0.448,11,-12.668,0,0.0734,0.0158,0,0.0378,0.447,105.066,299440,4,0.872,0
48,0.932,7,-6.817,1,0.047,0.00203,0.876,0.101,0.111,126.007,459939,4,0.607,1
49,0.782,8,-8.193,1,0.0516,0.00106,0.831,0.15,0.0445,128.008,544153,4,0.663,1
50,0.982,7,-3.728,1,0.044,3.63E-05,0.857,0.159,0.0277,130.002,387794,4,0.477,1
51,0.742,1,-7.695,1,0.229,0.0126,1.18E-05,0.285,0.604,193.236,235973,4,0.827,0
52,0.797,5,-11.428,1,0.0393,0.000352,0.897,0.706,0.229,126.006,349099,4,0.621,1
53,0.33,1,-8.712,0,0.1,0.22,0,0.105,0.211,121.97,242983,4,0.805,0
54,0.987,9,-4.559,1,0.103,0.0184,0.954,0.14,0.218,139.012,407086,3,0.728,1
55,0.55,8,-6.13,1,0.0257,0.847,0.049,0.119,0.542,159.91,204939,4,0.497,0
56,0.884,10,-5.296,0,0.0638,0.0208,2.97E-06,0.248,0.897,121.927,231933,4,0.755,0
57,0.511,6,-6.779,1,0.0541,0.276,0,0.0916,0.62,193.892,133608,4,0.732,0
58,0.794,5,-9.894,0,0.0621,0.0181,0.9,0.0924,0.344,127.996,421937,4,0.799,1
59,0.822,7,-7.422,1,0.0382,0.000116,0.916,0.141,0.0747,135.011,325152,4,0.573,1
60,0.698,10,-5.73,0,0.338,0.107,0,0.174,0.697,188.132,283053,4,0.848,0
61,0.793,6,-7.039,0,0.354,0.0184,0.0329,0.215,0.366,113.84,360293,4,0.649,0
62,0.712,7,-8.845,1,0.0537,0.000889,0.807,0.109,0.0604,127.98,422143,4,0.611,1
63,0.747,8,-6.606,0,0.135,0.156,1.72E-06,0.361,0.62,180.438,199879,4,0.492,0
64,0.84,6,-4.855,1,0.349,0.369,0,0.0916,0.801,198.108,213760,4,0.75,0
65,0.732,11,-9.948,0,0.0623,0.0337,0.908,0.099,0.0431,128.982,362201,4,0.791,1
66,0.737,4,-7.453,1,0.324,0.000633,0.00417,0.109,0.219,154.322,214067,4,0.725,0
67,0.832,6,-6.879,0,0.0727,0.00955,0.883,0.0722,0.365,127.996,330281,4,0.834,1
68,0.588,1,-7.74,1,0.428,0.328,0,0.222,0.694,164.354,248781,4,0.61,0
69,0.764,6,-9.231,0,0.0717,0.0014,0.857,0.0674,0.162,128.024,423750,4,0.744,1
70,0.742,11,-11.875,0,0.0511,0.021,0.82,0.085,0.444,122.995,444500,4,0.724,1
71,0.911,7,-6.955,1,0.0546,0.00107,0.866,0.181,0.311,129.01,226772,3,0.632,1
72,0.564,0,-13.157,1,0.0431,0.000888,0.856,0.0813,0.204,124.997,497280,4,0.88,1
73,0.908,7,-8.556,1,0.0932,0.00751,0.799,0.416,0.1,128.012,366366,4,0.663,1
74,0.59,1,-9.889,0,0.0295,5.77E-05,0.528,0.121,0.436,129.994,352594,4,0.623,1
75,0.62,8,-6.443,1,0.306,0.398,0,0.0926,0.555,105.003,169979,4,0.727,0
76,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,211120,4,0.797,0
77,0.668,6,-8.363,1,0.323,0.131,0.00037,0.113,0.634,173.858,289600,4,0.794,0
78,0.525,9,-13.166,1,0.325,0.149,2.56E-06,0.297,0.473,191.734,327973,4,0.806,0
79,0.54,7,-14.439,1,0.0627,0.0455,1.84E-06,0.845,0.469,190.232,270973,4,0.677,0
80,0.937,0,-5.062,1,0.0615,0.000791,0.874,0.0981,0.181,127.999,382500,4,0.656,1
81,0.991,11,-11.064,0,0.066,0.00316,0.952,0.109,0.445,138,310015,4,0.776,1
82,0.691,7,-9.68,1,0.0648,0.0133,0.908,0.113,0.383,125.008,533760,4,0.809,1
83,0.722,9,-7.281,1,0.0582,0.0515,0.878,0.141,0.197,128.01,409336,4,0.777,1
84,0.635,7,-9.491,1,0.262,0.907,0.0843,0.157,0.225,139.998,203940,4,0.681,0
85,0.84,6,-4.855,1,0.349,0.367,0,0.0916,0.801,198.114,213760,4,0.751,0
86,0.935,7,-3.888,1,0.345,0.113,0,0.422,0.603,128.958,231773,4,0.644,0
87,0.837,1,-7.097,0,0.0463,0.000449,0.835,0.115,0.0377,128.015,412500,4,0.709,1
88,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,169.862,209440,4,0.742,0
89,0.826,10,-9.656,0,0.0632,0.00134,0.938,0.115,0.0739,129.999,415420,4,0.797,1
90,0.706,0,-4.279,1,0.0739,0.506,0,0.107,0.721,182.076,233736,4,0.697,0
91,0.801,1,-5.992,0,0.35,0.184,0,0.132,0.391,181.686,208867,4,0.754,0
92,0.995,6,-6.492,1,0.0717,0.000163,0.825,0.575,0.0374,140.002,507000,4,0.44,1
93,0.806,10,-11.811,0,0.0738,0.412,0.921,0.108,0.616,131.992,340000,4,0.692,1
94,0.755,1,-4.811,1,0.265,0.0307,0,0.266,0.807,158.844,136440,4,0.503,0
95,0.816,1,-6.073,1,0.312,0.0137,0,0.0631,0.52,191.76,266613,4,0.799,0
96,0.819,11,-0.158,0,0.251,0.252,0,0.133,0.725,183.648,244267,4,0.782,0
97,0.839,6,-10.563,1,0.0811,0.0701,0.841,0.0993,0.397,133.006,399851,5,0.761,1
98,0.656,1,-6.968,1,0.0469,0.00278,0,0.122,0.27,135.033,227994,4,0.735,0
99,0.848,0,-11.036,1,0.0454,0.12,0.882,0.0422,0.329,125.993,468045,4,0.639,1
100,0.869,8,-10.401,1,0.0707,0.00316,0.903,0.0791,0.0678,129.007,380417,4,0.773,1
101,0.902,0,-7.682,1,0.0534,0.0222,0.888,0.0959,0.097,130,216692,4,0.658,1
102,0.815,8,-8.699,1,0.0882,0.0348,0.852,0.116,0.186,126.001,398616,4,0.732,1
103,0.595,7,-8.838,1,0.0682,0.0101,0.938,0.0956,0.0338,128,468984,4,0.762,1
104,0.861,1,-9.79,1,0.0391,0.00374,0.911,0.111,0.0746,133.936,330185,4,0.574,1
105,0.621,1,-4.378,1,0.306,0.00469,0.0103,0.199,0.568,159.967,228933,4,0.721,0
106,0.779,2,-6.413,1,0.191,0.00484,0,0.0458,0.32,150.04,268894,4,0.722,0
107,0.816,9,-4.645,1,0.256,0.483,0,0.146,0.79,192.134,301467,4,0.873,0
108,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,183.994,215387,4,0.696,0
109,0.733,1,-7.068,1,0.262,0.134,0,0.157,0.897,175.33,295173,4,0.715,0
110,0.808,3,-4.238,0,0.194,0.0109,1.45E-06,0.0829,0.657,171.964,195351,4,0.754,0
111,0.796,9,-8.909,1,0.0665,0.00205,0.851,0.061,0.568,125,401241,4,0.802,1
112,0.94,1,-7.03,0,0.0476,0.00586,0.896,0.0912,0.206,130.001,441231,4,0.728,1
113,0.936,6,-6.137,0,0.0657,0.000548,0.879,0.343,0.428,130.003,389538,4,0.646,1
114,0.555,6,-7.6,0,0.0374,0.34,0,0.0993,0.224,120.096,312427,4,0.656,0
115,0.559,4,-5.216,0,0.0416,0.0372,0,0.379,0.252,157.068,217405,4,0.706,0
116,0.907,6,-10.009,0,0.0627,0.00791,0.88,0.0977,0.4,128.006,426884,4,0.703,1
117,0.898,11,-9.558,0,0.117,0.0761,0.853,0.0928,0.0378,135.013,370895,4,0.756,1
